name,isin,symbol
HIGHLIGHT CMNCTS INH.SF 1,CH0006539198,HLG
SWISSCOM AG NAM.    SF 1,CH0008742519,SWJ
"BARRY CALLEBAUT NA SF7,29",CH0009002962,BCLN
"ACTELION LTD     SF 0,50",CH0010532478,ACT
LINDT SPRUENGLI NAM.SF100,CH0010570759,LSPN
LINDT SPRUENGLI PS  SF 10,CH0010570767,LSPP
GIVAUDAN SA NA      SF 10,CH0010645932,GIN
"KOMAX HLDG NA     SF 0,10",CH0010702154,KR8
"SYNGENTA AG NA     SF 0,1",CH0011037469,SVJ
"ZURICH INSUR.GR.NA.SF0,10",CH0011075394,ZFIN
"DORMAKABA HLDG NA.SF 0,10",CH0011795959,KABN
"NOVARTIS NAM.     SF 0,50",CH0012005267,NOT
ROCHE HLDG AG GEN.,CH0012032048,RHO5
ROCHE HLDG AG INH. SF 1,CH0012032113,RHO
"CRED.SUISSE GRP NA SF-,04",CH0012138530,CSX
ADECCO GROUP AG NAM. SF 1,CH0012138605,ADI1
"CLARIANT NA   SF 3,70",CH0012142631,CLRN
LAFARGEHOLCIM LTD.NAM.SF2,CH0012214059,HLBN
"ABB LTD. NA     SF 0,12",CH0012221716,ABJ
"SWATCH GRP AG NAM.SF 0,45",CH0012255144,UHRN
"SWATCH GRP AG INH.SF 2,25",CH0012255151,UHR
"STRAUMANN HLDG NA SF 0,10",CH0012280076,QS5
VONTOBEL HLDG AG NA SF 1,CH0012335540,VTLN
"BALOISE HLDG NA   SF 0,10",CH0012410517,BLON
"SONOVA HLDG AG NA.SF 0,05",CH0012549785,PHBN
LONZA GROUP AG NA    SF 1,CH0013841017,LO3
"SWISS LIFE HLDG SF 5,10",CH0014852781,SLW
TMC CONTENT GR.AG INH.SF1,CH0016458363,ERO1
OPENLIMIT HLDG INH. SF-30,CH0022237009,O5H
"SCHINDLER HLDG NA  SF-,10",CH0024638212,SHR
KUEHNE + NAGEL INTL  SF 1,CH0025238863,KNIA
"LOGITECH INTL NA  SF -,25",CH0025751329,LTEC
SANTHERA PHARM.HD.NA SF 1,CH0027148649,S3F
ADDEX THERAPEUTICS SF 1,CH0029850754,APE
GEBERIT AG NA DISP. SF-10,CH0030170408,GBRA
MATADOR PR.EQ. INH. SF 10,CH0030773102,MT4
"U-BLOX HOLDING NAM.SF-,90",CH0033361673,3BG
"SULZER NAM.       SF -,01",CH0038388911,SUL1
"BB BIOTECH NAM.   SF 0,20",CH0038389992,BBZA
"NESTLE NAM.        SF-,10",CH0038863350,NESR
"MEYER BUR.TECH.NAM.SF-,05",CH0108503795,M6YA
PEACH PROPERTY GROUP SF1,CH0118530366,P6Z
"SWISS RE AG NAM.  SF -,10",CH0126881561,SR9
MARS ONE VENT.  INH.SF-20,CH0132106482,KCC
"LION E-MOBILITY AG SF-,13",CH0132594711,LMI
LEONTEQ AG           SF 1,CH0190891181,EFL
CIE FIN.RICHEMONT   SF 1,CH0210483332,RITN
"UBS GROUP AG      SF -,10",CH0244767585,0UB
"EDAG ENGINEERING G.SF-,04",CH0303692047,ED4
"VIFOR PHARMA NAM.SF 0,01",CH0364749348,G2AA
BYD CO. LTD H        YC 1,CNE100000296,BY6
CHINA LIFE INS. H    YC 1,CNE1000002L3,CHL
PETROCHINA CO. LTD H YC 1,CNE1000003W8,PC6
ZTE CORP. H          YC 1,CNE1000004Y2,FZM
"AROUNDTOWN PROP.HD.EO-,01",CY0105562116,AT1
FINLAB AG   NA O.N.,DE0001218063,A7A
B+S BANKSYSTEME AG O.N.,DE0001262152,DTD2
VIB VERMOEGEN O.N.,DE0002457512,VIH
BAVARIA INDS GRP   O.N.,DE0002605557,B8A
ISHARES PFANDBRIEFE U.ETF,DE0002635265,EXHE
ISHARES DIVDAX UCITS ETF,DE0002635273,EXSB
IS.EO ST.SEL.DIV.30 U.ETF,DE0002635281,EXSG
ISH.S.EU.SEL.DIV.30 U.ETF,DE0002635299,EXSH
ISH.STOX.EUROPE 600 U.ETF,DE0002635307,EXSA
SOFTWARE AG O.N.,DE0003304002,SOW
GERRY WEBER INTERNAT.O.N.,DE0003304101,GWI1
